<<<<<<< HEAD
BlackBox ; 
=======
chatGPT ; 0.019165039062500000, 0.015060424804687500, 0.000656127929687500,  ,  0.896 
chatGPT ; 0.018615722656250000, 0.014663696289062500, 0.000656127929687500,  ,  0.89 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.68 
chatGPT ; 0.019958496093750000, 0.016143798828125000, 0.000640869140625000,  ,  0.682 
chatGPT ; 0.020141601562500000, 0.016235351562500000, 0.000640869140625000,  ,  0.692 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.696 
chatGPT ; 0.021499633789062500, 0.017440795898437500, 0.000656127929687500,  ,  1.047 
chatGPT ; 0.024429321289062500, 0.038635253906250000, 0.001220703125000000,  ,  1.138 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.918 
chatGPT ; 0.024688720703125000, 0.020401000976562500, 0.000640869140625000,  ,  0.908 
chatGPT ; 0.047988891601562500, 0.039154052734375000, 0.001205444335937500,  ,  1.322 
chatGPT ; 0.027923583984375000, 0.023315429687500000, 0.000656127929687500,  ,  1.13 
chatGPT ; 0.026306152343750000, 0.021865844726562500, 0.000640869140625000,  ,  1.167 
chatGPT ; 0.022827148437500000, 0.018905639648437500, 0.000091552734375000,  ,  1.198 
chatGPT ; 0.025878906250000000, 0.021163940429687500, 0.000640869140625000,  ,  1.231 
chatGPT ; 0.056304931640625000, 0.041931152343750000, 0.005584716796875000,  ,  1.605 
chatGPT ; 0.031417846679687500, 0.021286010742187500, 0.004562377929687500,  ,  1.39 
chatGPT ; 0.057205200195312500, 0.038177490234375000, 0.008621215820312500,  ,  1.205 
chatGPT ; 0.029190063476562500, 0.020111083984375000, 0.003982543945312500,  ,  1.075 
chatGPT ; 0.029663085937500000, 0.021316528320312500, 0.003845214843750000,  ,  1.244 
chatGPT ; 0.030853271484375000, 0.020797729492187500, 0.005355834960937500,  ,  1.168 
chatGPT ; 0.030380249023437500, 0.040313720703125000, 0.010681152343750000,  ,  1.458 
chatGPT ; 0.032180786132812500, 0.020812988281250000, 0.005981445312500000,  ,  1.363 
chatGPT ; 0.031494140625000000, 0.020233154296875000, 0.005798339843750000,  ,  1.206 
chatGPT ; 0.025283813476562500, 0.018615722656250000, 0.002792358398437500,  ,  0.807 
chatGPT ; 0.020553588867187500, 0.016311645507812500, 0.000839233398437500,  ,  0.878 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.723 
chatGPT ; 0.020721435546875000, 0.000000000000000000, 0.000000000000000000,  ,  0.699 
chatGPT ; 0.019302368164062500, 0.015396118164062500, 0.000793457031250000,  ,  0.669 
chatGPT ; 0.049926757812500000, 0.039916992187500000, 0.002227783203125000,  ,  1.64 
chatGPT ; 0.032562255859375000, 0.021072387695312500, 0.006439208984375000,  ,  1.546 
chatGPT ; 0.031417846679687500, 0.020278930664062500, 0.005645751953125000,  ,  1.378 
chatGPT ; 0.063156127929687500, 0.040557861328125000, 0.011901855468750000,  ,  1.16 
chatGPT ; 0.032608032226562500, 0.022109985351562500, 0.005645751953125000,  ,  1.327 
chatGPT ; 0.032974243164062500, 0.021148681640625000, 0.007156372070312500,  ,  1.237 
chatGPT ; 0.060485839843750000, 0.038879394531250000, 0.011764526367187500,  ,  1.45 
chatGPT ; 0.031036376953125000, 0.020141601562500000, 0.005462646484375000,  ,  1.376 
chatGPT ; 0.030288696289062500, 0.020294189453125000, 0.004974365234375000,  ,  1.164 
chatGPT ; 0.023956298828125000, 0.019500732421875000, 0.000778198242187500,  ,  1.021 
chatGPT ; 0.024887084960937500, 0.020233154296875000, 0.000793457031250000,  ,  0.799 
chatGPT ; 0.019485473632812500, 0.015411376953125000, 0.000793457031250000,  ,  0.655 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.701 
chatGPT ; 0.020996093750000000, 0.016876220703125000, 0.000808715820312500,  ,  0.684 
chatGPT ; 0.022369384765625000, 0.018081665039062500, 0.000778198242187500,  ,  1.065 
chatGPT ; 0.057006835937500000, 0.042266845703125000, 0.005920410156250000,  ,  1.628 
chatGPT ; 0.032470703125000000, 0.042816162109375000, 0.011276245117187500,  ,  1.977 
chatGPT ; 0.030441284179687500, 0.019866943359375000, 0.005310058593750000,  ,  1.331 
